month,monthly_items,bnf_chemical_name
2015-08-01,849,All chemicals
2015-09-01,1126,All chemicals
2015-10-01,1145,All chemicals
2015-11-01,1566,All chemicals
2015-12-01,1537,All chemicals
2016-01-01,1300,All chemicals
2016-02-01,1627,All chemicals
2016-03-01,1328,All chemicals
2016-04-01,1426,All chemicals
2016-05-01,1499,All chemicals
2016-06-01,1712,All chemicals
2016-07-01,1317,All chemicals
2016-08-01,1104,All chemicals
2016-09-01,1745,All chemicals
2016-10-01,1417,All chemicals
2016-11-01,1815,All chemicals
2016-12-01,1490,All chemicals
2017-01-01,1687,All chemicals
2017-02-01,1445,All chemicals
2017-03-01,1778,All chemicals
2017-04-01,1958,All chemicals
2017-05-01,1746,All chemicals
2017-06-01,1746,All chemicals
2017-07-01,2002,All chemicals
2017-08-01,1460,All chemicals
2017-09-01,1882,All chemicals
2017-10-01,1753,All chemicals
2017-11-01,1715,All chemicals
2017-12-01,1700,All chemicals
2018-01-01,2225,All chemicals
2018-02-01,1710,All chemicals
2018-03-01,1974,All chemicals
2018-04-01,1920,All chemicals
2018-05-01,2766,All chemicals
2018-06-01,2245,All chemicals
2018-07-01,2264,All chemicals
2018-08-01,1403,All chemicals
2018-09-01,1861,All chemicals
2018-10-01,2876,All chemicals
2018-11-01,1240,All chemicals
2018-12-01,3067,All chemicals
2019-01-01,3257,All chemicals
2019-02-01,2033,All chemicals
2019-03-01,3548,All chemicals
2019-04-01,3224,All chemicals
2019-05-01,2834,All chemicals
2019-06-01,2800,All chemicals
2019-07-01,2110,All chemicals
2019-08-01,3371,All chemicals
2019-09-01,4024,All chemicals
2019-10-01,3219,All chemicals
2019-11-01,3681,All chemicals
2019-12-01,3233,All chemicals
2020-01-01,3703,All chemicals
2020-02-01,2589,All chemicals
2020-03-01,3725,All chemicals
2020-04-01,2399,All chemicals
2020-05-01,2960,All chemicals
2020-06-01,2372,All chemicals
2020-07-01,3382,All chemicals
2020-08-01,2398,All chemicals
2020-09-01,5207,All chemicals
2020-10-01,6363,All chemicals
2020-11-01,3435,All chemicals
2020-12-01,10133,All chemicals
2021-01-01,8165,All chemicals
2021-02-01,8449,All chemicals
2021-03-01,8027,All chemicals
2021-04-01,8532,All chemicals
2021-05-01,9584,All chemicals
2021-06-01,6398,All chemicals
2021-07-01,10746,All chemicals
2021-08-01,6659,All chemicals
2021-09-01,15730,All chemicals
2021-10-01,12913,All chemicals
2021-11-01,6973,All chemicals
2021-12-01,9107,All chemicals
2022-01-01,9200,All chemicals
2022-02-01,7636,All chemicals
2022-03-01,7147,All chemicals
2022-04-01,16674,All chemicals
2022-05-01,21829,All chemicals
2022-06-01,15224,All chemicals
2022-07-01,19628,All chemicals
2022-08-01,17785,All chemicals
2022-09-01,21150,All chemicals
2022-10-01,17840,All chemicals
2022-11-01,22767,All chemicals
2022-12-01,28591,All chemicals
2023-01-01,31143,All chemicals
2023-02-01,23518,All chemicals
2023-03-01,34370,All chemicals
2023-04-01,17751,All chemicals
2023-05-01,33649,All chemicals
2023-06-01,34001,All chemicals
2023-07-01,37790,All chemicals
2023-08-01,31548,All chemicals
2023-09-01,27603,All chemicals
2023-10-01,39278,All chemicals
2023-11-01,27334,All chemicals
2023-12-01,34053,All chemicals
2024-01-01,37761,All chemicals
2024-02-01,37324,All chemicals
2024-03-01,39825,All chemicals
2024-04-01,42826,All chemicals
2024-05-01,37970,All chemicals
2024-06-01,50009,All chemicals
2024-07-01,38545,All chemicals
2024-08-01,48071,All chemicals
2024-09-01,41971,All chemicals
2024-10-01,43501,All chemicals
2024-11-01,47981,All chemicals
2024-12-01,53052,All chemicals
2025-01-01,45163,All chemicals
2025-02-01,64664,All chemicals
2025-03-01,54190,All chemicals
2025-04-01,58414,All chemicals
2025-05-01,63135,All chemicals
2025-06-01,74721,All chemicals
2025-07-01,64738,All chemicals
