area_team_code,icb_code
Q45,QHM
Q45,NA
Q49,QE1
Q49,QHM
Q50,QOQ
Q50,NA
Q52,QWO
Q52,NA
Q55,QJ2
Q46,QJ2
Q59,QK1
Q59,QJM
Q59,NA
Q55,QT1
Q51,QT1
Q51,QF7
Q56,QUE
Q56,QMM
Q56,NA
Q56,QJG
Q58,QHG
Q58,NA
Q58,QM7
Q61,QMJ
Q62,QRV
Q62,NA
Q57,QH8
Q57,QJG
Q57,QM7
Q61,NA
Q61,QMF
Q68,QNX
Q68,NA
Q67,QKS
Q63,QKK
Q63,NA
Q68,QXU
Q68,QNQ
Q70,QNQ
Q63,QWE
Q70,QVV
Q64,QOX
Q70,QRL
Q70,NA
Q64,NA
Q69,QU9
Q69,QNQ
Q69,NA
Q58,QPM
Q65,QUY
Q66,QT6
Q66,QJK
Q66,NA
Q64,QR1
Q65,QSL
Q53,QGH
Q53,NA
Q60,QOC
Q60,QNC
Q53,QWU
Q54,QHL
Q54,QUA
Q54,NA
Q44,QYG
Q48,QYG
Q47,QE1
Q46,QOP
Q55,NA
Q67,NA
Q56,QPM
Q65,NA
Q60,NA
Q44,NA
Q60,QUA
QHM,QHM
QE1,QE1
QOQ,QOQ
QWO,QWO
QJ2,QJ2
QOP,QJ2
QK1,QK1
QJM,QJM
QJM,QK1
QF7,QT1
QT1,QT1
QF7,QF7
QUE,QUE
QM7,QM7
QMM,QMM
QJG,QJG
QHG,QHG
QMJ,QMJ
QRV,QRV
QH8,QH8
QMF,QMF
QNX,QNX
QKS,QKS
QKK,QKK
QXU,QXU
QNQ,QNQ
QWE,QWE
QVV,QVV
QOX,QOX
QRL,QRL
QU9,QU9
QPM,QPM
QUE,QPM
QUY,QUY
QT6,QT6
QJK,QJK
QR1,QR1
QSL,QSL
QGH,QGH
QOC,QOC
QNC,QNC
QWU,QWU
QHL,QHL
QUA,QHL
QUA,QUA
QYG,QYG
QOP,QOP
QHL,QUA
